criminal_id,criminal_name,gender,number_of_prior_convictions,age_group
265,Riley A. Thompson,Female,5,Adult
266,Alex W. Martin,Female,1,Adult
267,Brett B. Moore,Female,1,Adult
268,Angel Hernandez,Female,7,Adult
269,Rowan M. Brown,Female,1,Adult
270,Jordan N. Thomas,Female,1,Adult
271,Riley V. Martin,Female,1,Adult
272,Marley W. Thomas,Female,4,Adult
273,Morgan O. Martin,Female,3,Adult
274,Blake R. White,Female,1,Adult
275,Justice E. Wilson,Female,1,Adult
276,Dallas Y. Lee,Female,1,Adult
277,Jamie C. Williams,Female,1,Adult
278,Paris T. Rodriguez,Female,2,Adult
279,Parker S. Smith,Female,1,Adult
280,Brooklyn S. Lee,Female,1,Adult
281,London A. Thompson,Female,1,Adult
282,Corey S. Jones,Male,18,Youth
283,Mason C. Jackson,Male,1,Youth
284,Tatum O. Thompson,Male,4,Youth
285,Jessie A. Martinez,Male,4,Youth
286,Logan I. Davis,Male,6,Youth
287,Carson Jones,Male,6,Youth
288,Hayden O. Anderson,Male,1,Youth
289,Parker R. Martin,Male,1,Youth
290,Skyler I. Miller,Male,2,Youth
291,Ash B. Martinez,Male,8,Youth
292,Oakley P. Thomas,Male,28,Adult
293,Corey V. Martin,Male,7,Adult
294,Zion Q. Martinez,Male,3,Adult
295,River M. Martinez,Male,1,Adult
296,River J. Thomas,Male,3,Adult
297,Mason O. White,Male,2,Adult
298,Ash G. Thomas,Male,1,Adult
299,Casey V. Garcia,Male,11,Adult
300,Dallas Z. Hernandez,Male,15,Adult
301,Parker T. Lopez,Male,11,Youth
302,Fallon H. Gonzalez,Male,1,Youth
303,Blake C. Smith,Male,10,Youth
304,Addison E. Jackson,Male,1,Youth
305,Kelly C. Smith,Male,1,Youth
306,Nico Q. Davis,Male,6,Youth
307,Dane Z. Lopez,Male,3,Youth
308,Marley H. Smith,Male,6,Youth
309,Skyler G. Lopez,Male,1,Adult
310,Casey X. Davis,Male,4,Adult
311,Sydney L. Williams,Male,3,Adult
312,Oakley J. Moore,Male,19,Adult
313,Greer V. Lee,Male,5,Adult
314,Hayden L. Jones,Male,7,Adult
315,Carson Y. Taylor,Male,32,Adult
316,Carson V. Thomas,Male,1,Adult
317,Avery S. Johnson,Male,3,Adult
318,Dylan O. Gonzalez,Male,7,Adult
319,Quinn Q. Rodriguez,Male,19,Adult
320,Mason Y. Johnson,Male,3,Adult
321,Morgan Q. Anderson,Male,52,Adult
322,Ellis K. Thompson,Male,1,Adult
323,Angel B. Jackson,Male,2,Adult
324,Addison G. Garcia,Male,6,Adult
325,Paris M. Thomas,Male,8,Adult
326,Peyton D. Hernandez,Male,21,Adult
327,Greer Q. Moore,Male,8,Adult
328,Emerson T. Rodriguez,Male,12,Adult
329,Kelly Y. Lee,Male,1,Adult
330,Casey K. Williams,Male,7,Adult
331,Tatum Lopez,Male,1,Adult
332,Blake P. Smith,Male,1,Adult
333,Sawyer Z. Brown,Male,2,Adult
334,Corey R. Thompson,Male,2,Adult
335,Emerson R. Martin,Male,2,Adult
336,Harley I. Jackson,Male,2,Adult
337,Avery W. Smith,Male,14,Adult
338,Dakota D. Martin,Male,11,Adult
339,Ash E. Lopez,Male,1,Adult
340,Corey Y. Williams,Male,7,Adult
341,Finley V. Jones,Male,31,Adult
342,Alex Z. Lee,Male,1,Adult
343,Finley B. Taylor,Male,7,Adult
344,Harley F. Jackson,Male,12,Adult
345,Tyler U. Jones,Male,1,Adult
346,Erin C. Taylor,Male,2,Adult
347,Emery Y. Johnson,Male,1,Adult
348,Skyler X. Williams,Male,5,Adult
349,Zion J. Thompson,Male,5,Adult
350,Skyler T. Garcia,Male,6,Adult
351,Riley H. Wilson,Male,1,Adult
352,Campbell S. Brown,Male,1,Adult
353,Quinn F. Johnson,Female,5,Youth
354,Baylor E. Wilson,Female,5,Youth
355,Baylor J. Gonzalez,Female,1,Adult
356,Dallas A. Thompson,Female,1,Adult
357,Ash J. Martinez,Female,1,Adult
358,Blake V. Moore,Female,2,Adult
359,Tatum L. White,Female,10,Adult
360,Cameron J. Johnson,Female,2,Adult
361,Carson H. Lopez,Female,5,Adult
362,Morgan B. Lopez,Female,1,Adult
363,Nico O. Martinez,Female,8,Adult
364,Logan T. White,Female,1,Adult
365,Robin R. Lopez,Female,1,Adult
366,London W. Thomas,Female,13,Adult
367,Sasha Wilson,Female,2,Adult
368,Kai O. Moore,Female,1,Adult
369,Tyler P. Rodriguez,Female,1,Adult
370,Drew N. White,Female,3,Adult
371,Bellamy Rodriguez,Female,1,Adult
372,Sawyer S. White,Female,3,Adult
373,Dane N. Johnson,Female,1,Adult
374,Sage B. Miller,Female,1,Adult
375,Blake H. Smith,Female,17,Adult
376,Nico V. Smith,Female,12,Adult
377,Fallon K. Smith,Female,1,Adult
378,Brett L. Rodriguez,Female,9,Adult
379,Shannon I. Anderson,Female,10,Adult
380,Campbell F. Davis,Female,2,Adult
381,Robin O. Thompson,Female,1,Adult
382,Blake Z. Brown,Female,1,Adult
383,Dylan K. Anderson,Female,1,Adult
384,Ellis N. Hernandez,Female,5,Adult
385,Alex J. Lee,Female,6,Adult
386,Brett S. Moore,Female,1,Adult
387,Mason X. Hernandez,Female,2,Adult
388,Carson E. Taylor,Female,1,Adult
389,Addison C. Wilson,Female,1,Adult
390,London Z. Johnson,Female,1,Unknown
391,Baylor P. Wilson,Female,1,Unknown
392,Avery N. Thomas,Female,1,Unknown
393,Tatum Anderson,Male,1,Youth
394,Tatum U. Wilson,Male,2,Youth
395,Rowan L. Taylor,Male,5,Youth
396,Robin X. Martin,Male,1,Youth
397,Robin R. Jackson,Male,14,Youth
398,Nico K. Johnson,Male,5,Youth
399,Robin M. Lee,Male,3,Youth
400,Mason Moore,Male,1,Youth
401,Jessie O. Johnson,Male,12,Adult
402,Corey W. Davis,Male,4,Adult
403,Rowan K. Brown,Male,1,Adult
404,Reese W. White,Male,6,Adult
405,Dakota Q. Lopez,Male,13,Adult
406,Riley L. Martinez,Male,2,Adult
407,Alex D. Jones,Male,4,Adult
408,Riley U. Thomas,Male,2,Adult
409,Corey J. White,Male,5,Adult
410,Dallas A. Martin,Male,3,Adult
411,Emerson V. Jackson,Male,2,Adult
412,Hayden T. Moore,Female,2,Youth
413,Kelly S. Davis,Female,1,Youth
414,Marley F. Davis,Female,1,Youth
415,Zion Z. Jones,Female,1,Youth
416,Harley Q. Moore,Female,1,Adult
417,Riley D. Brown,Female,1,Adult
418,Rowan H. Rodriguez,Female,1,Adult
419,Avery E. Anderson,Female,1,Adult
420,Kai W. Jackson,Female,1,Adult
421,River Y. Johnson,Female,4,Adult
422,Oakley Z. Thompson,Female,5,Adult
423,Corey L. Miller,Female,1,Adult
424,Oakley H. Thompson,Female,1,Adult
425,Jordan X. Lopez,Female,1,Adult
426,Zion H. White,Female,2,Adult
427,Reese M. Wilson,Female,1,Adult
428,Logan X. Brown,Female,1,Adult
429,Avery O. Wilson,Female,2,Adult
430,Tyler Y. Lopez,Female,1,Adult
431,Greer T. Thompson,Female,3,Adult
432,Phoenix Q. Lopez,Female,1,Adult
433,Robin B. Lopez,Female,1,Adult
434,Corey S. Rodriguez,Male,9,Youth
435,London F. Martinez,Male,3,Youth
436,Sawyer A. Rodriguez,Male,11,Youth
437,Finley Y. Martin,Male,1,Youth
438,Carson P. Wilson,Male,1,Youth
439,Drew Q. Moore,Male,1,Adult
440,Tyler V. Garcia,Male,4,Adult
441,Dallas Miller,Male,3,Adult
442,Greer W. Brown,Male,1,Adult
443,Finley F. Lopez,Male,10,Adult
444,Nico B. Thompson,Male,1,Adult
445,Dylan M. Thomas,Male,1,Adult
446,Alex K. Thomas,Male,1,Adult
447,Casey N. Gonzalez,Male,19,Adult
448,Mason L. Jackson,Male,1,Adult
449,Justice Q. Jones,Male,1,Adult
450,Erin H. Smith,Male,1,Adult
451,Alex K. Brown,Male,2,Adult
452,Avery E. Smith,Male,6,Adult
453,Campbell L. Lopez,Male,1,Adult
454,Logan B. Wilson,Male,2,Adult
455,London M. Rodriguez,Male,6,Adult
456,Sydney S. Lee,Male,12,Adult
457,Nico U. Williams,Male,1,Adult
458,Taylor R. Thompson,Male,1,Adult
459,Hayden H. Smith,Male,13,Adult
460,Bellamy Q. White,Male,1,Adult
461,Dakota K. Smith,Male,3,Adult
462,Emerson K. Jones,Male,9,Adult
463,Harley B. Williams,Male,31,Adult
464,Sasha T. Williams,Male,1,Adult
465,Phoenix Q. Gonzalez,Male,16,Adult
466,Greer I. Thompson,Male,1,Adult
467,Phoenix K. Rodriguez,Male,5,Adult
468,Rowan M. White,Male,2,Adult
469,Ellis J. Thompson,Male,1,Adult
470,Angel N. Gonzalez,Male,2,Adult
471,Drew M. Williams,Male,1,Adult
472,Drew Q. Davis,Male,7,Adult
473,Finley L. Jackson,Male,1,Adult
474,Zion E. Smith,Male,8,Adult
475,Avery L. Lopez,Male,2,Adult
476,Sage C. Hernandez,Male,9,Adult
477,Taylor Smith,Male,4,Adult
478,Skyler L. Anderson,Male,2,Adult
479,River K. Thompson,Male,1,Adult
480,Rowan X. Smith,Male,1,Adult
481,Nico Rodriguez,Male,1,Adult
482,Kelly Z. Gonzalez,Male,2,Adult
483,Greer D. Hernandez,Male,2,Adult
484,Fallon G. Jones,Male,2,Adult
485,Campbell N. Wilson,Male,23,Adult
486,Kelly F. Davis,Male,1,Adult
487,Phoenix Z. Miller,Male,7,Adult
488,Sydney X. Smith,Male,1,Adult
489,Drew H. Hernandez,Male,1,Adult
490,Paris L. Martin,Male,7,Adult
491,Blake B. Smith,Male,1,Adult
492,Phoenix V. Hernandez,Male,4,Adult
493,Marley Z. Smith,Male,1,Adult
494,Dane Wilson,Male,4,Adult
495,Sydney Y. Thomas,Male,1,Adult
496,Paris O. Jackson,Male,1,Adult
497,London C. Williams,Male,3,Adult
498,Addison Q. Thompson,Female,1,Youth
499,Kai A. Rodriguez,Female,1,Youth
500,Sawyer D. Brown,Female,3,Adult
501,Riley A. Moore,Female,3,Adult
502,Tyler C. Anderson,Male,1,Youth
503,Sawyer B. Thomas,Male,1,Youth
504,Drew O. White,Male,2,Youth
505,Justice D. White,Male,1,Youth
506,Campbell Williams,Male,3,Adult
507,Jordan S. Gonzalez,Male,1,Adult
508,Emerson M. Anderson,Male,14,Adult
509,Sage S. Rodriguez,Male,6,Adult
510,Phoenix F. Williams,Male,31,Adult
511,Fallon R. Jones,Male,3,Adult
512,Harley M. Miller,Male,2,Adult
513,Fallon B. Lopez,Male,1,Adult
514,River T. Williams,Male,3,Adult
515,Parker R. Martinez,Male,2,Adult
516,Campbell X. Jones,Male,6,Adult
517,Evan Z. Johnson,Male,3,Adult
518,Dallas Y. Hernandez,Male,2,Adult
519,Paris Q. Hernandez,Male,4,Adult
520,Reese T. Lee,Male,2,Adult
521,Mason U. Miller,Male,23,Adult
522,Addison V. Garcia,Male,4,Adult
523,Corey P. Hernandez,Male,8,Adult
524,Kelly G. Martin,Male,41,Adult
525,Brooklyn K. Miller,Male,1,Adult
526,Cameron W. Jones,Male,1,Adult
527,Paris C. Miller,Male,2,Adult
528,Evan H. Thompson,Male,7,Adult
529,Carson V. Williams,Male,4,Adult
530,Hayden L. Wilson,Male,8,Adult
531,Jamie P. Anderson,Male,1,Adult
532,Campbell Thompson,Male,7,Adult
533,Logan I. Anderson,Male,2,Adult
534,Oakley Y. Lee,Male,6,Adult
535,Drew Martin,Male,6,Adult
536,Sage C. Taylor,Male,12,Adult
537,Tyler K. Rodriguez,Male,15,Adult
538,Paris M. Jones,Male,1,Adult
539,Emerson Q. Hernandez,Male,34,Adult
540,Rowan N. Thompson,Male,1,Adult
541,Marley A. Garcia,Male,10,Adult
542,London G. Rodriguez,Male,2,Adult
543,Dakota Z. Anderson,Male,2,Adult
544,Phoenix Thomas,Male,1,Adult
545,Phoenix Q. Williams,Male,3,Adult
546,London P. Wilson,Male,33,Adult
547,Kai Johnson,Male,1,Adult
548,Kelly N. Martinez,Male,3,Adult
549,Ellis U. Martinez,Male,17,Adult
550,Sage U. Smith,Male,1,Adult
551,Corey G. White,Female,2,Adult
552,Casey W. Brown,Female,1,Adult
553,Jamie J. Martinez,Female,1,Adult
554,River K. Jackson,Female,6,Adult
555,Casey B. Lee,Female,2,Adult
556,Sasha Y. Thomas,Female,1,Adult
557,Emery B. Brown,Female,3,Adult
558,Morgan P. Thomas,Female,1,Adult
559,Shannon S. Williams,Female,2,Adult
560,Sawyer S. Wilson,Female,1,Adult
561,Jamie J. Johnson,Female,1,Adult
562,Casey K. Davis,Female,2,Adult
563,Skyler K. Williams,Female,2,Adult
564,Jessie S. Jones,Female,1,Adult
565,Quinn G. Jones,Female,1,Adult
566,Skyler W. Thomas,Female,4,Adult
567,Jordan U. Rodriguez,Female,3,Adult
568,Sage Y. Davis,Female,1,Adult
569,Baylor A. Taylor,Female,1,Adult
570,Cameron Thompson,Female,1,Adult
571,Dakota N. Martinez,Male,1,Youth
572,Hayden V. Johnson,Male,5,Youth
573,Jessie I. Thompson,Male,3,Youth
574,Erin Z. Johnson,Male,2,Youth
575,Evan Y. Jones,Male,4,Youth
576,Sage O. Garcia,Male,2,Youth
577,Campbell Q. Brown,Male,13,Youth
578,Cameron Lee,Male,8,Adult
579,London L. Lopez,Male,2,Adult
580,Jordan B. Johnson,Male,1,Adult
581,Dane Y. Davis,Male,1,Adult
582,Sasha T. Smith,Male,1,Adult
583,Morgan J. Wilson,Male,4,Adult
584,Jamie W. Lee,Male,4,Adult
585,Blake Q. Thomas,Male,3,Adult
586,Finley Z. Davis,Male,7,Adult
587,Avery K. White,Male,2,Adult
588,Harley B. Smith,Male,1,Adult
589,Rowan Y. Moore,Male,2,Adult
590,Blake W. Miller,Male,14,Adult
591,Peyton M. Thomas,Male,1,Adult
592,Morgan M. Smith,Male,1,Adult
593,London Garcia,Male,1,Adult
594,Addison F. Brown,Male,2,Adult
595,Corey K. Williams,Male,4,Adult
596,Zion U. Jackson,Male,1,Adult
597,Bellamy D. Davis,Male,1,Adult
598,Alex S. Brown,Male,2,Adult
599,Brooklyn L. Martinez,Male,10,Adult
600,Avery D. Jones,Male,1,Adult
601,Baylor K. Lee,Male,4,Adult
602,Morgan O. Thomas,Male,23,Adult
603,Emery K. Thomas,Male,13,Adult
604,Cameron Q. Rodriguez,Male,2,Adult
605,Sydney T. Jackson,Male,2,Adult
606,Kelly H. Taylor,Male,1,Adult
607,Corey Q. Davis,Male,3,Adult
608,Sasha A. Rodriguez,Male,3,Adult
609,Dakota V. Miller,Male,4,Adult
610,Sasha D. Williams,Male,1,Adult
611,Erin R. Lopez,Male,24,Adult
612,Logan X. Miller,Male,1,Adult
613,Jordan H. Wilson,Male,13,Adult
614,Carson W. Brown,Male,2,Adult
615,River B. Gonzalez,Male,1,Adult
616,Cameron W. Brown,Male,7,Adult
617,Ellis X. Johnson,Male,4,Adult
618,Reese T. Hernandez,Male,2,Adult
619,Baylor D. Lee,Male,23,Adult
620,Marley Z. Moore,Male,1,Adult
621,Dane L. Taylor,Male,2,Adult
622,Evan L. White,Male,1,Adult
623,Dylan K. Hernandez,Male,5,Adult
624,Jessie F. Lee,Male,13,Adult
625,Oakley Z. White,Male,1,Adult
626,Oakley N. Thompson,Male,1,Adult
627,Sawyer V. Moore,Male,10,Adult
628,Paris W. Taylor,Male,5,Adult
629,Hayden E. Davis,Male,6,Adult
630,Hayden B. Thompson,Male,9,Adult
631,Tyler S. Lopez,Male,1,Adult
632,Zion C. Johnson,Male,2,Adult
633,Sage U. Johnson,Male,6,Adult
634,Justice J. Anderson,Male,2,Adult
635,Rowan N. Taylor,Male,2,Adult
636,Rowan U. Martin,Female,3,Youth
637,Greer G. Moore,Female,3,Youth
638,Casey N. Thomas,Female,3,Adult
639,River I. Thompson,Female,1,Adult
640,Addison K. White,Female,3,Adult
641,Tatum R. Rodriguez,Female,1,Adult
642,Blake V. Thompson,Female,1,Adult
643,Ash N. Thompson,Female,11,Adult
644,Kai J. Jackson,Female,1,Adult
645,Rowan I. Garcia,Female,10,Adult
646,Tatum P. Brown,Female,6,Adult
647,Erin U. Taylor,Female,6,Adult
648,Emerson K. Davis,Female,1,Adult
649,Avery E. Williams,Female,2,Adult
650,Sawyer O. Williams,Female,2,Adult
651,Quinn G. Smith,Female,1,Adult
652,Skyler U. White,Female,2,Adult
653,Dylan F. Brown,Female,2,Adult
654,Campbell H. Miller,Female,3,Adult
655,Kelly G. Brown,Female,3,Adult
656,Avery V. Brown,Male,4,Youth
657,Dakota T. Wilson,Male,4,Youth
658,London L. Jackson,Male,2,Adult
